year,term,month,day
1954,惊蛰,3,6
1954,春分,3,21
1954,清明,4,5
1954,谷雨,4,20
1954,立夏,5,6
1954,小满,5,21
1954,芒种,6,6
1954,夏至,6,22
1954,小暑,7,8
1954,大暑,7,23
1954,立秋,8,8
1954,处暑,8,24
1954,白露,9,8
1954,秋分,9,23
1954,寒露,10,9
1954,霜降,10,24
1954,立冬,11,8
1954,小雪,11,23
1954,大雪,12,7
1954,冬至,12,22
1955,小寒,1,6
1955,大寒,1,21
1955,立春,2,4
1955,雨水,2,19
1955,惊蛰,3,6
1955,春分,3,21
1955,清明,4,5
1955,谷雨,4,21
1955,立夏,5,6
1955,小满,5,22
1955,芒种,6,6
1955,夏至,6,22
1955,小暑,7,8
1955,大暑,7,23
1955,立秋,8,8
1955,处暑,8,24
1955,白露,9,8
1955,秋分,9,24
1955,寒露,10,9
1955,霜降,10,24
1955,立冬,11,8
1955,小雪,11,23
1955,大雪,12,8
1955,冬至,12,22
1956,小寒,1,6
1956,大寒,1,21
1956,立春,2,5
1956,雨水,2,20
1956,惊蛰,3,5
1956,春分,3,20
1956,清明,4,5
1956,谷雨,4,20
1956,立夏,5,5
1956,小满,5,21
1956,芒种,6,6
1956,夏至,6,21
1956,小暑,7,7
1956,大暑,7,23
1956,立秋,8,7
1956,处暑,8,23
1956,白露,9,8
1956,秋分,9,23
1956,寒露,10,8
1956,霜降,10,23
1956,立冬,11,7
1956,小雪,11,22
1956,大雪,12,7
1956,冬至,12,22
1957,小寒,1,5
1957,大寒,1,20
1957,立春,2,4
1957,雨水,2,19
1957,惊蛰,3,6
1957,春分,3,21
1957,清明,4,5
1957,谷雨,4,20
1957,立夏,5,6
1957,小满,5,21
1957,芒种,6,6
1957,夏至,6,22
1957,小暑,7,7
1957,大暑,7,23
1957,立秋,8,8
1957,处暑,8,23
1957,白露,9,8
1957,秋分,9,23
1957,寒露,10,8
1957,霜降,10,24
1957,立冬,11,8
1957,小雪,11,22
1957,大雪,12,7
1957,冬至,12,22
1958,小寒,1,6
1958,大寒,1,20
1958,立春,2,4
1958,雨水,2,19
1958,惊蛰,3,6
1958,春分,3,21
1958,清明,4,5
1958,谷雨,4,20
1958,立夏,5,6
1958,小满,5,21
1958,芒种,6,6
1958,夏至,6,22
1958,小暑,7,7
1958,大暑,7,23
1958,立秋,8,8
1958,处暑,8,23
1958,白露,9,8
1958,秋分,9,23
1958,寒露,10,9
1958,霜降,10,24
1958,立冬,11,8
1958,小雪,11,23
1958,大雪,12,7
1958,冬至,12,22
1959,小寒,1,6
1959,大寒,1,21
1959,立春,2,4
1959,雨水,2,19
1959,惊蛰,3,6
1959,春分,3,21
1959,清明,4,5
1959,谷雨,4,21
1959,立夏,5,6
1959,小满,5,22
1959,芒种,6,6
1959,夏至,6,22
1959,小暑,7,8
1959,大暑,7,23
1959,立秋,8,8
1959,处暑,8,24
1959,白露,9,8
1959,秋分,9,24
1959,寒露,10,9
1959,霜降,10,24
1959,立冬,11,8
1959,小雪,11,23
1959,大雪,12,8
1959,冬至,12,22
1960,小寒,1,6
1960,大寒,1,21
1960,立春,2,5
1960,雨水,2,19
1960,惊蛰,3,5
1960,春分,3,20
1960,清明,4,5
1960,谷雨,4,20
1960,立夏,5,5
1960,小满,5,21
1960,芒种,6,6
1960,夏至,6,21
1960,小暑,7,7
1960,大暑,7,23
1960,立秋,8,7
1960,处暑,8,23
1960,白露,9,7
1960,秋分,9,23
1960,寒露,10,8
1960,霜降,10,23
1960,立冬,11,7
1960,小雪,11,22
1960,大雪,12,7
1960,冬至,12,22
1961,小寒,1,5
1961,大寒,1,20
1961,立春,2,4
1961,雨水,2,19
1961,惊蛰,3,6
1961,春分,3,21
1961,清明,4,5
1961,谷雨,4,20
1961,立夏,5,6
1961,小满,5,21
1961,芒种,6,6
1961,夏至,6,21
1961,小暑,7,7
1961,大暑,7,23
1961,立秋,8,8
1961,处暑,8,23
1961,白露,9,8
1961,秋分,9,23
1961,寒露,10,8
1961,霜降,10,23
1961,立冬,11,7
1961,小雪,11,22
1961,大雪,12,7
1961,冬至,12,22
1962,小寒,1,6
1962,大寒,1,20
1962,立春,2,4
1962,雨水,2,19
1962,惊蛰,3,6
1962,春分,3,21
1962,清明,4,5
1962,谷雨,4,20
1962,立夏,5,6
1962,小满,5,21
1962,芒种,6,6
1962,夏至,6,22
1962,小暑,7,7
1962,大暑,7,23
1962,立秋,8,8
1962,处暑,8,23
1962,白露,9,8
1962,秋分,9,23
1962,寒露,10,9
1962,霜降,10,24
1962,立冬,11,8
1962,小雪,11,23
1962,大雪,12,7
1962,冬至,12,22
1963,小寒,1,6
1963,大寒,1,21
1963,立春,2,4
1963,雨水,2,19
1963,惊蛰,3,6
1963,春分,3,21
1963,清明,4,5
1963,谷雨,4,21
1963,立夏,5,6
1963,小满,5,22
1963,芒种,6,6
1963,夏至,6,22
1963,小暑,7,8
1963,大暑,7,23
1963,立秋,8,8
1963,处暑,8,24
1963,白露,9,8
1963,秋分,9,24
1963,寒露,10,9
1963,霜降,10,24
1963,立冬,11,8
1963,小雪,11,23
1963,大雪,12,8
1963,冬至,12,22
1964,小寒,1,6
1964,大寒,1,21
1964,立春,2,5
1964,雨水,2,19
1964,惊蛰,3,5
1964,春分,3,20
1964,清明,4,5
1964,谷雨,4,20
1964,立夏,5,5
1964,小满,5,21
1964,芒种,6,6
1964,夏至,6,21
1964,小暑,7,7
1964,大暑,7,23
1964,立秋,8,7
1964,处暑,8,23
1964,白露,9,7
1964,秋分,9,23
1964,寒露,10,8
1964,霜降,10,23
1964,立冬,11,7
1964,小雪,11,22
1964,大雪,12,7
1964,冬至,12,22
1965,小寒,1,5
1965,大寒,1,20
1965,立春,2,4
1965,雨水,2,19
1965,惊蛰,3,6
1965,春分,3,21
1965,清明,4,5
1965,谷雨,4,20
1965,立夏,5,6
1965,小满,5,21
1965,芒种,6,6
1965,夏至,6,21
1965,小暑,7,7
1965,大暑,7,23
1965,立秋,8,8
1965,处暑,8,23
1965,白露,9,8
1965,秋分,9,23
1965,寒露,10,8
1965,霜降,10,23
1965,立冬,11,7
1965,小雪,11,22
1965,大雪,12,7
1965,冬至,12,22
1966,小寒,1,6
1966,大寒,1,20
1966,立春,2,4
1966,雨水,2,19
1966,惊蛰,3,6
1966,春分,3,21
1966,清明,4,5
1966,谷雨,4,20
1966,立夏,5,6
1966,小满,5,21
1966,芒种,6,6
1966,夏至,6,22
1966,小暑,7,7
1966,大暑,7,23
1966,立秋,8,8
1966,处暑,8,23
1966,白露,9,8
1966,秋分,9,23
1966,寒露,10,9
1966,霜降,10,24
1966,立冬,11,8
1966,小雪,11,23
1966,大雪,12,7
1966,冬至,12,22
1967,小寒,1,6
1967,大寒,1,21
1967,立春,2,4
1967,雨水,2,19
1967,惊蛰,3,6
1967,春分,3,21
1967,清明,4,5
1967,谷雨,4,21
1967,立夏,5,6
1967,小满,5,22
1967,芒种,6,6
1967,夏至,6,22
1967,小暑,7,8
1967,大暑,7,23
1967,立秋,8,8
1967,处暑,8,24
1967,白露,9,8
1967,秋分,9,24
1967,寒露,10,9
1967,霜降,10,24
1967,立冬,11,8
1967,小雪,11,23
1967,大雪,12,8
1967,冬至,12,22
1968,小寒,1,6
1968,大寒,1,21
1968,立春,2,5
1968,雨水,2,19
1968,惊蛰,3,5
1968,春分,3,20
1968,清明,4,5
1968,谷雨,4,20
1968,立夏,5,5
1968,小满,5,21
1968,芒种,6,5
1968,夏至,6,21
1968,小暑,7,7
1968,大暑,7,23
1968,立秋,8,7
1968,处暑,8,23
1968,白露,9,7
1968,秋分,9,23
1968,寒露,10,8
1968,霜降,10,23
1968,立冬,11,7
1968,小雪,11,22
1968,大雪,12,7
1968,冬至,12,22
1969,小寒,1,5
1969,大寒,1,20
1969,立春,2,4
1969,雨水,2,19
1969,惊蛰,3,6
1969,春分,3,21
1969,清明,4,5
1969,谷雨,4,20
1969,立夏,5,6
1969,小满,5,21
1969,芒种,6,6
1969,夏至,6,21
1969,小暑,7,7
1969,大暑,7,23
1969,立秋,8,8
1969,处暑,8,23
1969,白露,9,8
1969,秋分,9,23
1969,寒露,10,8
1969,霜降,10,23
1969,立冬,11,7
1969,小雪,11,22
1969,大雪,12,7
1969,冬至,12,22
1970,小寒,1,6
1970,大寒,1,20
1970,立春,2,4
1970,雨水,2,19
1970,惊蛰,3,6
1970,春分,3,21
1970,清明,4,5
1970,谷雨,4,20
1970,立夏,5,6
1970,小满,5,21
1970,芒种,6,6
1970,夏至,6,22
1970,小暑,7,7
1970,大暑,7,23
1970,立秋,8,8
1970,处暑,8,23
1970,白露,9,8
1970,秋分,9,23
1970,寒露,10,9
1970,霜降,10,24
1970,立冬,11,8
1970,小雪,11,23
1970,大雪,12,7
1970,冬至,12,22
1971,小寒,1,6
1971,大寒,1,21
1971,立春,2,4
1971,雨水,2,19
1971,惊蛰,3,6
1971,春分,3,21
1971,清明,4,5
1971,谷雨,4,21
1971,立夏,5,6
1971,小满,5,22
1971,芒种,6,6
1971,夏至,6,22
1971,小暑,7,8
1971,大暑,7,23
1971,立秋,8,8
1971,处暑,8,24
1971,白露,9,8
1971,秋分,9,24
1971,寒露,10,9
1971,霜降,10,24
1971,立冬,11,8
1971,小雪,11,23
1971,大雪,12,8
1971,冬至,12,22
1972,小寒,1,6
1972,大寒,1,21
1972,立春,2,5
1972,雨水,2,19
1972,惊蛰,3,5
1972,春分,3,20
1972,清明,4,5
1972,谷雨,4,20
1972,立夏,5,5
1972,小满,5,21
1972,芒种,6,5
1972,夏至,6,21
1972,小暑,7,7
1972,大暑,7,23
1972,立秋,8,7
1972,处暑,8,23
1972,白露,9,7
1972,秋分,9,23
1972,寒露,10,8
1972,霜降,10,23
1972,立冬,11,7
1972,小雪,11,22
1972,大雪,12,7
1972,冬至,12,22
1973,小寒,1,5
1973,大寒,1,20
1973,立春,2,4
1973,雨水,2,19
1973,惊蛰,3,6
1973,春分,3,21
1973,清明,4,5
1973,谷雨,4,20
1973,立夏,5,5
1973,小满,5,21
1973,芒种,6,6
1973,夏至,6,21
1973,小暑,7,7
1973,大暑,7,23
1973,立秋,8,8
1973,处暑,8,23
1973,白露,9,8
1973,秋分,9,23
1973,寒露,10,8
1973,霜降,10,23
1973,立冬,11,7
1973,小雪,11,22
1973,大雪,12,7
1973,冬至,12,22
1974,小寒,1,6
1974,大寒,1,20
1974,立春,2,4
1974,雨水,2,19
1974,惊蛰,3,6
1974,春分,3,21
1974,清明,4,5
1974,谷雨,4,20
1974,立夏,5,6
1974,小满,5,21
1974,芒种,6,6
1974,夏至,6,22
1974,小暑,7,7
1974,大暑,7,23
1974,立秋,8,8
1974,处暑,8,23
1974,白露,9,8
1974,秋分,9,23
1974,寒露,10,9
1974,霜降,10,24
1974,立冬,11,8
1974,小雪,11,23
1974,大雪,12,7
1974,冬至,12,22
1975,小寒,1,6
1975,大寒,1,21
1975,立春,2,4
1975,雨水,2,19
1975,惊蛰,3,6
1975,春分,3,21
1975,清明,4,5
1975,谷雨,4,21
1975,立夏,5,6
1975,小满,5,22
1975,芒种,6,6
1975,夏至,6,22
1975,小暑,7,8
1975,大暑,7,23
1975,立秋,8,8
1975,处暑,8,24
1975,白露,9,8
1975,秋分,9,23
1975,寒露,10,9
1975,霜降,10,24
1975,立冬,11,8
1975,小雪,11,23
1975,大雪,12,8
1975,冬至,12,22
1976,小寒,1,6
1976,大寒,1,21
1976,立春,2,5
1976,雨水,2,19
1976,惊蛰,3,5
1976,春分,3,20
1976,清明,4,4
1976,谷雨,4,20
1976,立夏,5,5
1976,小满,5,21
1976,芒种,6,5
1976,夏至,6,21
1976,小暑,7,7
1976,大暑,7,23
1976,立秋,8,7
1976,处暑,8,23
1976,白露,9,7
1976,秋分,9,23
1976,寒露,10,8
1976,霜降,10,23
1976,立冬,11,7
1976,小雪,11,22
1976,大雪,12,7
1976,冬至,12,22
1977,小寒,1,5
1977,大寒,1,20
1977,立春,2,4
1977,雨水,2,19
1977,惊蛰,3,6
1977,春分,3,21
1977,清明,4,5
1977,谷雨,4,20
1977,立夏,5,5
1977,小满,5,21
1977,芒种,6,6
1977,夏至,6,21
1977,小暑,7,7
1977,大暑,7,23
1977,立秋,8,7
1977,处暑,8,23
1977,白露,9,8
1977,秋分,9,23
1977,寒露,10,8
1977,霜降,10,23
1977,立冬,11,7
1977,小雪,11,22
1977,大雪,12,7
1977,冬至,12,22
1978,小寒,1,6
1978,大寒,1,20
1978,立春,2,4
1978,雨水,2,19
1978,惊蛰,3,6
1978,春分,3,21
1978,清明,4,5
1978,谷雨,4,20
1978,立夏,5,6
1978,小满,5,21
1978,芒种,6,6
1978,夏至,6,22
1978,小暑,7,7
1978,大暑,7,23
1978,立秋,8,8
1978,处暑,8,23
1978,白露,9,8
1978,秋分,9,23
1978,寒露,10,8
1978,霜降,10,24
1978,立冬,11,8
1978,小雪,11,23
1978,大雪,12,7
1978,冬至,12,22
1979,小寒,1,6
1979,大寒,1,21
1979,立春,2,4
1979,雨水,2,19
1979,惊蛰,3,6
1979,春分,3,21
1979,清明,4,5
1979,谷雨,4,21
1979,立夏,5,6
1979,小满,5,21
1979,芒种,6,6
1979,夏至,6,22
1979,小暑,7,8
1979,大暑,7,23
1979,立秋,8,8
1979,处暑,8,24
1979,白露,9,8
1979,秋分,9,23
1979,寒露,10,9
1979,霜降,10,24
1979,立冬,11,8
1979,小雪,11,23
1979,大雪,12,8
1979,冬至,12,22
1980,小寒,1,6
1980,大寒,1,21
1980,立春,2,5
1980,雨水,2,19
1980,惊蛰,3,5
1980,春分,3,20
1980,清明,4,4
1980,谷雨,4,20
1980,立夏,5,5
1980,小满,5,21
1980,芒种,6,5
1980,夏至,6,21
1980,小暑,7,7
1980,大暑,7,23
1980,立秋,8,7
1980,处暑,8,23
1980,白露,9,7
1980,秋分,9,23
1980,寒露,10,8
1980,霜降,10,23
1980,立冬,11,7
1980,小雪,11,22
1980,大雪,12,7
1980,冬至,12,22
1981,小寒,1,5
1981,大寒,1,20
1981,立春,2,4
1981,雨水,2,19
1981,惊蛰,3,6
1981,春分,3,21
1981,清明,4,5
1981,谷雨,4,20
1981,立夏,5,5
1981,小满,5,21
1981,芒种,6,6
1981,夏至,6,21
1981,小暑,7,7
1981,大暑,7,23
1981,立秋,8,7
1981,处暑,8,23
1981,白露,9,8
1981,秋分,9,23
1981,寒露,10,8
1981,霜降,10,23
1981,立冬,11,7
1981,小雪,11,22
1981,大雪,12,7
1981,冬至,12,22
1982,小寒,1,6
1982,大寒,1,20
1982,立春,2,4
1982,雨水,2,19
1982,惊蛰,3,6
1982,春分,3,21
1982,清明,4,5
1982,谷雨,4,20
1982,立夏,5,6
1982,小满,5,21
1982,芒种,6,6
1982,夏至,6,22
1982,小暑,7,7
1982,大暑,7,23
1982,立秋,8,8
1982,处暑,8,23
1982,白露,9,8
1982,秋分,9,23
1982,寒露,10,8
1982,霜降,10,24
1982,立冬,11,8
1982,小雪,11,22
1982,大雪,12,7
1982,冬至,12,22
1983,小寒,1,6
1983,大寒,1,20
1983,立春,2,4
1983,雨水,2,19
1983,惊蛰,3,6
1983,春分,3,21
1983,清明,4,5
1983,谷雨,4,20
1983,立夏,5,6
1983,小满,5,21
1983,芒种,6,6
1983,夏至,6,22
1983,小暑,7,8
1983,大暑,7,23
1983,立秋,8,8
1983,处暑,8,24
1983,白露,9,8
1983,秋分,9,23
1983,寒露,10,9
1983,霜降,10,24
1983,立冬,11,8
1983,小雪,11,23
1983,大雪,12,8
1983,冬至,12,22
1984,小寒,1,6
1984,大寒,1,21
1984,立春,2,4
1984,雨水,2,19
1984,惊蛰,3,5
1984,春分,3,20
1984,清明,4,4
1984,谷雨,4,20
1984,立夏,5,5
1984,小满,5,21
1984,芒种,6,5
1984,夏至,6,21
1984,小暑,7,7
1984,大暑,7,22
1984,立秋,8,7
1984,处暑,8,23
1984,白露,9,7
1984,秋分,9,23
1984,寒露,10,8
1984,霜降,10,23
1984,立冬,11,7
1984,小雪,11,22
1984,大雪,12,7
1984,冬至,12,22
1985,小寒,1,5
1985,大寒,1,20
1985,立春,2,4
1985,雨水,2,19
1985,惊蛰,3,5
1985,春分,3,21
1985,清明,4,5
1985,谷雨,4,20
1985,立夏,5,5
1985,小满,5,21
1985,芒种,6,6
1985,夏至,6,21
1985,小暑,7,7
1985,大暑,7,23
1985,立秋,8,7
1985,处暑,8,23
1985,白露,9,8
1985,秋分,9,23
1985,寒露,10,8
1985,霜降,10,23
1985,立冬,11,7
1985,小雪,11,22
1985,大雪,12,7
1985,冬至,12,22
1986,小寒,1,5
1986,大寒,1,20
1986,立春,2,4
1986,雨水,2,19
1986,惊蛰,3,6
1986,春分,3,21
1986,清明,4,5
1986,谷雨,4,20
1986,立夏,5,6
1986,小满,5,21
1986,芒种,6,6
1986,夏至,6,22
1986,小暑,7,7
1986,大暑,7,23
1986,立秋,8,8
1986,处暑,8,23
1986,白露,9,8
1986,秋分,9,23
1986,寒露,10,8
1986,霜降,10,24
1986,立冬,11,8
1986,小雪,11,22
1986,大雪,12,7
1986,冬至,12,22
1987,小寒,1,6
1987,大寒,1,20
1987,立春,2,4
1987,雨水,2,19
1987,惊蛰,3,6
1987,春分,3,21
1987,清明,4,5
1987,谷雨,4,20
1987,立夏,5,6
1987,小满,5,21
1987,芒种,6,6
1987,夏至,6,22
1987,小暑,7,7
1987,大暑,7,23
1987,立秋,8,8
1987,处暑,8,24
1987,白露,9,8
1987,秋分,9,23
1987,寒露,10,9
1987,霜降,10,24
1987,立冬,11,8
1987,小雪,11,23
1987,大雪,12,7
1987,冬至,12,22
1988,小寒,1,6
1988,大寒,1,21
1988,立春,2,4
1988,雨水,2,19
1988,惊蛰,3,5
1988,春分,3,20
1988,清明,4,4
1988,谷雨,4,20
1988,立夏,5,5
1988,小满,5,21
1988,芒种,6,5
1988,夏至,6,21
1988,小暑,7,7
1988,大暑,7,22
1988,立秋,8,7
1988,处暑,8,23
1988,白露,9,7
1988,秋分,9,23
1988,寒露,10,8
1988,霜降,10,23
1988,立冬,11,7
1988,小雪,11,22
1988,大雪,12,7
1988,冬至,12,21
1989,小寒,1,5
1989,大寒,1,20
1989,立春,2,4
1989,雨水,2,19
1989,惊蛰,3,5
1989,春分,3,20
1989,清明,4,5
1989,谷雨,4,20
1989,立夏,5,5
1989,小满,5,21
1989,芒种,6,6
1989,夏至,6,21
1989,小暑,7,7
1989,大暑,7,23
1989,立秋,8,7
1989,处暑,8,23
1989,白露,9,7
1989,秋分,9,23
1989,寒露,10,8
1989,霜降,10,23
1989,立冬,11,7
1989,小雪,11,22
1989,大雪,12,7
1989,冬至,12,22
1990,小寒,1,5
1990,大寒,1,20
1990,立春,2,4
1990,雨水,2,19
1990,惊蛰,3,6
1990,春分,3,21
1990,清明,4,5
1990,谷雨,4,20
1990,立夏,5,6
1990,小满,5,21
1990,芒种,6,6
1990,夏至,6,21
1990,小暑,7,7
1990,大暑,7,23
1990,立秋,8,8
1990,处暑,8,23
1990,白露,9,8
1990,秋分,9,23
1990,寒露,10,8
1990,霜降,10,24
1990,立冬,11,8
1990,小雪,11,22
1990,大雪,12,7
1990,冬至,12,22
1991,小寒,1,6
1991,大寒,1,20
1991,立春,2,4
1991,雨水,2,19
1991,惊蛰,3,6
1991,春分,3,21
1991,清明,4,5
1991,谷雨,4,20
1991,立夏,5,6
1991,小满,5,21
1991,芒种,6,6
1991,夏至,6,22
1991,小暑,7,7
1991,大暑,7,23
1991,立秋,8,8
1991,处暑,8,23
1991,白露,9,8
1991,秋分,9,23
1991,寒露,10,9
1991,霜降,10,24
1991,立冬,11,8
1991,小雪,11,23
1991,大雪,12,7
1991,冬至,12,22
1992,小寒,1,6
1992,大寒,1,21
1992,立春,2,4
1992,雨水,2,19
1992,惊蛰,3,5
1992,春分,3,20
1992,清明,4,4
1992,谷雨,4,20
1992,立夏,5,5
1992,小满,5,21
1992,芒种,6,5
1992,夏至,6,21
1992,小暑,7,7
1992,大暑,7,22
1992,立秋,8,7
1992,处暑,8,23
1992,白露,9,7
1992,秋分,9,23
1992,寒露,10,8
1992,霜降,10,23
1992,立冬,11,7
1992,小雪,11,22
1992,大雪,12,7
1992,冬至,12,21
1993,小寒,1,5
1993,大寒,1,20
1993,立春,2,4
1993,雨水,2,18
1993,惊蛰,3,5
1993,春分,3,20
1993,清明,4,5
1993,谷雨,4,20
1993,立夏,5,5
1993,小满,5,21
1993,芒种,6,6
1993,夏至,6,21
1993,小暑,7,7
1993,大暑,7,23
1993,立秋,8,7
1993,处暑,8,23
1993,白露,9,7
1993,秋分,9,23
1993,寒露,10,8
1993,霜降,10,23
1993,立冬,11,7
1993,小雪,11,22
1993,大雪,12,7
1993,冬至,12,22
1994,小寒,1,5
1994,大寒,1,20
1994,立春,2,4
1994,雨水,2,19
1994,惊蛰,3,6
1994,春分,3,21
1994,清明,4,5
1994,谷雨,4,20
1994,立夏,5,6
1994,小满,5,21
1994,芒种,6,6
1994,夏至,6,21
1994,小暑,7,7
1994,大暑,7,23
1994,立秋,8,8
1994,处暑,8,23
1994,白露,9,8
1994,秋分,9,23
1994,寒露,10,8
1994,霜降,10,23
1994,立冬,11,7
1994,小雪,11,22
1994,大雪,12,7
1994,冬至,12,22
1995,小寒,1,6
1995,大寒,1,20
1995,立春,2,4
1995,雨水,2,19
1995,惊蛰,3,6
1995,春分,3,21
1995,清明,4,5
1995,谷雨,4,20
1995,立夏,5,6
1995,小满,5,21
1995,芒种,6,6
1995,夏至,6,22
1995,小暑,7,7
1995,大暑,7,23
1995,立秋,8,8
1995,处暑,8,23
1995,白露,9,8
1995,秋分,9,23
1995,寒露,10,9
1995,霜降,10,24
1995,立冬,11,8
1995,小雪,11,23
1995,大雪,12,7
1995,冬至,12,22
1996,小寒,1,6
1996,大寒,1,21
1996,立春,2,4
1996,雨水,2,19
1996,惊蛰,3,5
1996,春分,3,20
1996,清明,4,4
1996,谷雨,4,20
1996,立夏,5,5
1996,小满,5,21
1996,芒种,6,5
1996,夏至,6,21
1996,小暑,7,7
1996,大暑,7,22
1996,立秋,8,7
1996,处暑,8,23
1996,白露,9,7
1996,秋分,9,23
1996,寒露,10,8
1996,霜降,10,23
1996,立冬,11,7
1996,小雪,11,22
1996,大雪,12,7
1996,冬至,12,21
1997,小寒,1,5
1997,大寒,1,20
1997,立春,2,4
1997,雨水,2,18
1997,惊蛰,3,5
1997,春分,3,20
1997,清明,4,5
1997,谷雨,4,20
1997,立夏,5,5
1997,小满,5,21
1997,芒种,6,5
1997,夏至,6,21
1997,小暑,7,7
1997,大暑,7,23
1997,立秋,8,7
1997,处暑,8,23
1997,白露,9,7
1997,秋分,9,23
1997,寒露,10,8
1997,霜降,10,23
1997,立冬,11,7
1997,小雪,11,22
1997,大雪,12,7
1997,冬至,12,22
1998,小寒,1,5
1998,大寒,1,20
1998,立春,2,4
1998,雨水,2,19
1998,惊蛰,3,6
1998,春分,3,21
1998,清明,4,5
1998,谷雨,4,20
1998,立夏,5,6
1998,小满,5,21
1998,芒种,6,6
1998,夏至,6,21
1998,小暑,7,7
1998,大暑,7,23
1998,立秋,8,8
1998,处暑,8,23
1998,白露,9,8
1998,秋分,9,23
1998,寒露,10,8
1998,霜降,10,23
1998,立冬,11,7
1998,小雪,11,22
1998,大雪,12,7
1998,冬至,12,22
1999,小寒,1,6
1999,大寒,1,20
1999,立春,2,4
1999,雨水,2,19
1999,惊蛰,3,6
1999,春分,3,21
1999,清明,4,5
1999,谷雨,4,20
1999,立夏,5,6
1999,小满,5,21
1999,芒种,6,6
1999,夏至,6,22
1999,小暑,7,7
1999,大暑,7,23
1999,立秋,8,8
1999,处暑,8,23
1999,白露,9,8
1999,秋分,9,23
1999,寒露,10,9
1999,霜降,10,24
1999,立冬,11,8
1999,小雪,11,23
1999,大雪,12,7
1999,冬至,12,22
2000,小寒,1,6
2000,大寒,1,21
2000,立春,2,4
2000,雨水,2,19
2000,惊蛰,3,5
2000,春分,3,20
2000,清明,4,4
2000,谷雨,4,20
2000,立夏,5,5
2000,小满,5,21
2000,芒种,6,5
2000,夏至,6,21
2000,小暑,7,7
2000,大暑,7,22
2000,立秋,8,7
2000,处暑,8,23
2000,白露,9,7
2000,秋分,9,23
2000,寒露,10,8
2000,霜降,10,23
2000,立冬,11,7
2000,小雪,11,22
2000,大雪,12,7
2000,冬至,12,21
2001,小寒,1,5
2001,大寒,1,20
2001,立春,2,4
2001,雨水,2,18
2001,惊蛰,3,5
2001,春分,3,20
2001,清明,4,5
2001,谷雨,4,20
