year,term,jie_zhong,datetime,source_ref,notes
1964,立冬,节,1964-11-07 17:15,lunar,
1964,小雪,中气,1964-11-22 14:39,lunar,
1964,大雪,节,1964-12-07 09:53,lunar,
1964,冬至,中气,1964-12-22 03:50,lunar,
1965,小寒,节,1965-01-05 21:02,lunar,
1965,大寒,中气,1965-01-20 14:29,lunar,
1965,立春,节,1965-02-04 08:46,lunar,
1965,雨水,中气,1965-02-19 04:48,lunar,
1965,惊蛰,节,1965-03-06 03:01,lunar,
1965,春分,中气,1965-03-21 04:05,lunar,
1965,清明,节,1965-04-05 08:07,lunar,
1965,谷雨,中气,1965-04-20 15:26,lunar,
1965,立夏,节,1965-05-06 01:42,lunar,
1965,小满,中气,1965-05-21 14:50,lunar,
1965,芒种,节,1965-06-06 06:02,lunar,
1965,夏至,中气,1965-06-21 22:56,lunar,
1965,小暑,节,1965-07-07 16:21,lunar,
1965,大暑,中气,1965-07-23 09:48,lunar,
1965,立秋,节,1965-08-08 02:05,lunar,
1965,处暑,中气,1965-08-23 16:43,lunar,
1965,白露,节,1965-09-08 04:48,lunar,
1965,秋分,中气,1965-09-23 14:06,lunar,
1965,寒露,节,1965-10-08 20:11,lunar,
1965,霜降,中气,1965-10-23 23:10,lunar,
1965,立冬,节,1965-11-07 23:07,lunar,
1965,小雪,中气,1965-11-22 20:29,lunar,
1965,大雪,节,1965-12-07 15:46,lunar,
1965,冬至,中气,1965-12-22 09:40,lunar,
1966,小寒,节,1966-01-06 02:54,lunar,
1966,大寒,中气,1966-01-20 20:20,lunar,
1966,立春,节,1966-02-04 14:38,lunar,
1966,雨水,中气,1966-02-19 10:38,lunar,
1966,惊蛰,节,1966-03-06 08:51,lunar,
1966,春分,中气,1966-03-21 09:53,lunar,
1966,清明,节,1966-04-05 13:56,lunar,
1966,谷雨,中气,1966-04-20 21:12,lunar,
1966,立夏,节,1966-05-06 07:30,lunar,
1966,小满,中气,1966-05-21 20:32,lunar,
1966,芒种,节,1966-06-06 11:50,lunar,
1966,夏至,中气,1966-06-22 04:33,lunar,
1966,小暑,节,1966-07-07 22:07,lunar,
1966,大暑,中气,1966-07-23 15:23,lunar,
1966,立秋,节,1966-08-08 07:49,lunar,
1966,处暑,中气,1966-08-23 22:18,lunar,
1966,白露,节,1966-09-08 10:32,lunar,
1966,秋分,中气,1966-09-23 19:43,lunar,
1966,寒露,节,1966-10-09 01:57,lunar,
1966,霜降,中气,1966-10-24 04:51,lunar,
1966,立冬,节,1966-11-08 04:55,lunar,
1966,小雪,中气,1966-11-23 02:14,lunar,
1966,大雪,节,1966-12-07 21:38,lunar,
1966,冬至,中气,1966-12-22 15:28,lunar,
1967,小寒,节,1967-01-06 08:48,lunar,
1967,大寒,中气,1967-01-21 02:08,lunar,
1967,立春,节,1967-02-04 20:31,lunar,
1967,雨水,中气,1967-02-19 16:24,lunar,
1967,惊蛰,节,1967-03-06 14:42,lunar,
1967,春分,中气,1967-03-21 15:37,lunar,
1967,清明,节,1967-04-05 19:45,lunar,
1967,谷雨,中气,1967-04-21 02:55,lunar,
1967,立夏,节,1967-05-06 13:17,lunar,
1967,小满,中气,1967-05-22 02:18,lunar,
1967,芒种,节,1967-06-06 17:36,lunar,
1967,夏至,中气,1967-06-22 10:23,lunar,
1967,小暑,节,1967-07-08 03:53,lunar,
1967,大暑,中气,1967-07-23 21:16,lunar,
1967,立秋,节,1967-08-08 13:35,lunar,
1967,处暑,中气,1967-08-24 04:12,lunar,
1967,白露,节,1967-09-08 16:18,lunar,
1967,秋分,中气,1967-09-24 01:38,lunar,
1967,寒露,节,1967-10-09 07:41,lunar,
1967,霜降,中气,1967-10-24 10:44,lunar,
1967,立冬,节,1967-11-08 10:37,lunar,
1967,小雪,中气,1967-11-23 08:04,lunar,
1967,大雪,节,1967-12-08 03:17,lunar,
1967,冬至,中气,1967-12-22 21:16,lunar,
1968,小寒,节,1968-01-06 14:26,lunar,
1968,大寒,中气,1968-01-21 07:54,lunar,
1968,立春,节,1968-02-05 02:07,lunar,
1968,雨水,中气,1968-02-19 22:09,lunar,
1968,惊蛰,节,1968-03-05 20:18,lunar,
1968,春分,中气,1968-03-20 21:22,lunar,
1968,清明,节,1968-04-05 01:21,lunar,
1968,谷雨,中气,1968-04-20 08:41,lunar,
1968,立夏,节,1968-05-05 18:56,lunar,
1968,小满,中气,1968-05-21 08:06,lunar,
1968,芒种,节,1968-06-05 23:19,lunar,
1968,夏至,中气,1968-06-21 16:13,lunar,
1968,小暑,节,1968-07-07 09:42,lunar,
1968,大暑,中气,1968-07-23 03:07,lunar,
1968,立秋,节,1968-08-07 19:27,lunar,
1968,处暑,中气,1968-08-23 10:03,lunar,
1968,白露,节,1968-09-07 22:11,lunar,
1968,秋分,中气,1968-09-23 07:26,lunar,
1968,寒露,节,1968-10-08 13:34,lunar,
1968,霜降,中气,1968-10-23 16:30,lunar,
1968,立冬,节,1968-11-07 16:29,lunar,
1968,小雪,中气,1968-11-22 13:49,lunar,
1968,大雪,节,1968-12-07 09:08,lunar,
1968,冬至,中气,1968-12-22 03:00,lunar,
1969,小寒,节,1969-01-05 20:17,lunar,
1969,大寒,中气,1969-01-20 13:38,lunar,
1969,立春,节,1969-02-04 07:59,lunar,
1969,雨水,中气,1969-02-19 03:54,lunar,
1969,惊蛰,节,1969-03-06 02:11,lunar,
1969,春分,中气,1969-03-21 03:08,lunar,
1969,清明,节,1969-04-05 07:15,lunar,
1969,谷雨,中气,1969-04-20 14:27,lunar,
1969,立夏,节,1969-05-06 00:50,lunar,
1969,小满,中气,1969-05-21 13:50,lunar,
1969,芒种,节,1969-06-06 05:11,lunar,
1969,夏至,中气,1969-06-21 21:55,lunar,
1969,小暑,节,1969-07-07 15:32,lunar,
1969,大暑,中气,1969-07-23 08:48,lunar,
1969,立秋,节,1969-08-08 01:14,lunar,
1969,处暑,中气,1969-08-23 15:43,lunar,
1969,白露,节,1969-09-08 03:55,lunar,
1969,秋分,中气,1969-09-23 13:07,lunar,
1969,寒露,节,1969-10-08 19:17,lunar,
1969,霜降,中气,1969-10-23 22:11,lunar,
1969,立冬,节,1969-11-07 22:11,lunar,
1969,小雪,中气,1969-11-22 19:31,lunar,
1969,大雪,节,1969-12-07 14:51,lunar,
1969,冬至,中气,1969-12-22 08:44,lunar,
1970,小寒,节,1970-01-06 02:02,lunar,
1970,大寒,中气,1970-01-20 19:24,lunar,
1970,立春,节,1970-02-04 13:46,lunar,
1970,雨水,中气,1970-02-19 09:42,lunar,
1970,惊蛰,节,1970-03-06 07:58,lunar,
1970,春分,中气,1970-03-21 08:56,lunar,
1970,清明,节,1970-04-05 13:02,lunar,
1970,谷雨,中气,1970-04-20 20:15,lunar,
1970,立夏,节,1970-05-06 06:34,lunar,
1970,小满,中气,1970-05-21 19:37,lunar,
1970,芒种,节,1970-06-06 10:52,lunar,
1970,夏至,中气,1970-06-22 03:43,lunar,
1970,小暑,节,1970-07-07 21:11,lunar,
1970,大暑,中气,1970-07-23 14:37,lunar,
1970,立秋,节,1970-08-08 06:54,lunar,
1970,处暑,中气,1970-08-23 21:34,lunar,
1970,白露,节,1970-09-08 09:38,lunar,
1970,秋分,中气,1970-09-23 18:59,lunar,
1970,寒露,节,1970-10-09 01:02,lunar,
1970,霜降,中气,1970-10-24 04:04,lunar,
1970,立冬,节,1970-11-08 03:58,lunar,
